-200;WEGEJ347
1000;WEGEJ405W2
4000;WEGEJ410W2
3000;WEGEJ415W2
-900;WEGEK320
-600;WEGEK335
-800;WEGEK378
-2900;WEGEK380
-300;WEGEK384
-2000;WEGEK385
-1100;WEGEK388
-1200;WEGEK390
2000;WEGEV309
1000;WEGEV324
200;WEGEV347
-200;WEGEV374
-700;WEGEV417
-600;WEGEV434
-200;WEGEV449
900;WEGEW320
600;WEGEW335
-600;WEGEW375
-400;WEGEW378
-900;WEGEW385
-600;WEGEW395
-400;WEGEW429
1400;WEGE3
