ativo,margem
ABEVJ125W5,2.05
CMIGM110,2.51
IRBRJ500W5,34.41
RAILM159,6.89
ABEVJ127,1.79
CMIGM112,2.69
IRBRJ505,30.45
RAILM164,7.29
ABEVJ129,1.58
CMIGM115,2.88
IRBRJ510,30.06
RAILM166,7.49
ABEVJ130W1,1.29
CMIGM117,3.07
IRBRJ510W5,33.76
RAILM169,7.69
ABEVJ130W2,1.38
CMIGM120,3.26
IRBRJ515,29.67
RAILM170,7.09
ABEVJ130W4,1.57
CMIGM122,3.46
IRBRJ520,29.29
RAILM171,7.89
ABEVJ130W5,1.66
CMIGM125,3.66
IRBRJ520W5,33.12
RAILM174,8.09
ABEVJ132,1.39
CMIGM127,3.86
IRBRJ525,28.91
RAILM179,8.50
ABEVJ134,1.20
CMIGM130,4.07
IRBRJ530,28.53
RAILM184,8.91
ABEVJ135W1,0.86
CMIGM132,4.27
IRBRJ530W5,32.48
RAILM185,8.29
ABEVJ135W2,0.99
CMIGM135,4.49
IRBRJ535,28.15
RAILM186,9.12
ABEVJ135W4,1.22
CMIGM137,4.70
IRBRJ540,27.78
RAILM189,9.32
ABEVJ135W5,1.32
CMIGM140,4.91
IRBRJ540W5,31.86
RAILM190,8.70
ABEVJ137,1.03
CMIGM142,5.13
IRBRJ545,27.41
RAILM191,9.53
ABEVJ139,0.88
CMIGM145,5.35
IRBRJ550,27.04
RAILM194,9.74
ABEVJ140W1,0.52
CMIGM147,5.57
IRBRJ555,26.68
RAILM196,9.95
ABEVJ140W2,0.67
CMIGM149,5.80
IRBRJ560,26.32
RAILM199,10.16
ABEVJ140W4,0.92
CMIGM152,6.02
IRBRJ565,25.96
RAILM201,10.38
ABEVJ140W5,1.03
CMIGM155,6.25
IRBRJ570,25.61
RAILN141,5.85
ABEVJ142,0.74
CMIGM157,6.47
IRBRJ575,25.26
RAILN144,6.04
ABEVJ639,8.00
CMIGM160,6.70
IRBRJ580,24.91
RAILN146,6.22
ABEVJ649,7.90
CMIGM162,6.93
IRBRJ585,24.57
RAILN149,6.41
ABEVJ659,7.80
CMIGM165,7.16
IRBRJ590,24.23
RAILN151,6.60
ABEVJ669,7.71
CMIGM167,7.39
IRBRJ595,23.89
RAILN154,6.78
ABEVJ679,7.61
CMIGM170,7.62
IRBRJ600,23.55
RAILN156,6.97
ABEVJ689,7.51
CMIGM172,7.85
IRBRJ605,23.22
RAILN159,7.17
ABEVJ699,7.41
CMIGM175,8.08
IRBRJ610,22.89
RAILN16,7.94
ABEVJ709,7.31
CMIGM177,8.32
IRBRJ615,22.57
RAILN164,7.55
ABEVJ719,7.21
CMIGM180,8.55
IRBRJ620,22.25
RAILN166,7.75
ABEVJ729,7.11
CMIGM182,8.78
IRBRJ625,21.93
RAILN17,7.36
ABEVJ739,7.01
CMIGM185,9.02
IRBRK350,46.42
RAILN171,8.14
ABEVJ749,6.91
CMIGM187,9.25
IRBRK355,46.04
RAILN174,8.34
ABEVJ759,6.81
CMIGM190,9.49
IRBRK360,45.66
RAILN176,8.53
ABEVJ769,6.71
CMIGM192,9.72
IRBRK365,45.28
RAILN179,8.73
ABEVJ779,6.62
CMIGM195,9.96
IRBRK370,44.91
RAILN181,8.93
ABEVJ789,6.52
CMIGM197,10.20
IRBRK375,44.54
RAILN184,9.14
ABEVJ799,6.42
CMIGM200,10.43
IRBRK380,44.17
RAILN186,9.34
ABEVJ809,6.32
CMIGM202,10.67
IRBRK385,43.81
RAILN189,9.54
ABEVJ819,6.22
CMIGM205,10.91
IRBRK390,43.45
RAILN191,9.74
ABEVJ829,6.12
CMIGM207,11.14
IRBRK395,43.08
RAILN194,9.95
ABEVJ839,6.02
CMIGM210,11.38
IRBRK400,42.73
RAILN196,10.15
ABEVJ849,5.92
CMIGM212,11.62
IRBRK405,42.37
RAILN199,10.36
ABEVJ859,5.82
CMIGM215,11.86
IRBRK410,42.02
RAILN201,10.57
ABEVJ869,5.72
CMIGM217,12.09
IRBRK415,41.67
RAILO141,6.07
ABEVJ879,5.62
CMIGM904,1.26
IRBRK420,41.33
RAILO144,6.25
ABEVJ889,5.53
CMIGM924,1.37
IRBRK425,40.98
RAILO146,6.44
ABEVJ899,5.43
CMIGM954,1.53
IRBRK430,40.64
RAILO149,6.62
ABEVJ900W1,5.24
CMIGM974,1.65
IRBRK432,40.47
RAILO151,6.81
ABEVJ909,5.33
CMIGM99,1.84
IRBRK435,40.30
RAILO154,6.99
ABEVJ919,5.23
CMIGN100,1.95
IRBRK437,40.13
RAILO156,7.18
ABEVJ920W1,5.04
CMIGN102,2.11
IRBRK440,39.96
RAILO159,7.37
ABEVJ920W2,5.06
CMIGN105,2.27
IRBRK442,39.80
RAILO164,7.75
ABEVJ920W4,5.12
CMIGN107,2.43
IRBRK445,39.63
RAILO166,7.94
ABEVJ920W5,5.14
CMIGN110,2.60
IRBRK447,39.46
RAILO169,8.13
ABEVJ929,5.13
CMIGN112,2.78
IRBRK450,39.30
RAILO17,7.56
ABEVJ939,5.03
CMIGN115,2.95
IRBRK452,39.13
RAILO171,8.33
ABEVJ940W1,4.84
CMIGN117,3.14
IRBRK455,38.97
RAILO174,8.52
ABEVJ940W2,4.86
CMIGN120,3.32
IRBRK457,38.81
RAILO176,8.72
ABEVJ940W4,4.92
CMIGN122,3.51
IRBRK460,38.64
RAILO179,8.91
ABEVJ940W5,4.95
CMIGN125,3.70
IRBRK462,38.48
RAILO181,9.11
ABEVJ949,4.93
CMIGN127,3.90
IRBRK465,38.32
RAILO184,9.31
ABEVJ959,4.83
CMIGN130,4.09
IRBRK467,38.16
RAILO186,9.51
ABEVJ960W1,4.64
CMIGN132,4.29
IRBRK470,38.00
RAILO189,9.71
ABEVJ960W2,4.67
CMIGN135,4.49
IRBRK472,37.84
RAILO191,9.91
ABEVJ960W4,4.72
CMIGN137,4.70
IRBRK475,37.68
RAILO194,10.11
ABEVJ960W5,4.75
CMIGN140,4.91
IRBRK477,37.52
RAILO196,10.31
ABEVJ969,4.73
CMIGN142,5.11
IRBRK480,37.37
RAILO199,10.51
ABEVJ979,4.63
CMIGN145,5.32
IRBRK485,37.05
RAILO201,10.71
ABEVJ980W1,4.44
CMIGN147,5.54
IRBRK490,36.74
RAILP17,7.73
ABEVJ980W2,4.47
CMIGN149,5.75
IRBRK495,36.43
RAILQ15,6.76
ABEVJ980W4,4.52
CMIGN152,5.97
IRBRK500,36.13
RAILQ16,7.13
ABEVJ980W5,4.55
CMIGN155,6.18
IRBRK510,35.52
RAILQ185,9.00
ABEVJ989,4.53
CMIGN157,6.40
IRBRK520,34.93
RAILQ190,9.38
ABEVJ996,4.34
CMIGN160,6.62
IRBRK530,34.35
RAILR170,8.03
ABEVJ999,4.44
CMIGN162,6.84
IRBRK540,33.78
RAILS170,8.15
ABEVK102,4.33
CMIGN165,7.06
IRBRK550,33.21
RAILT17,8.29
ABEVK104,4.10
CMIGN167,7.29
IRBRK560,32.66
RAILU17,8.38
ABEVK109,3.63
CMIGN170,7.51
IRBRK570,32.12
RAILV106,1.68
ABEVK110,3.86
CMIGN172,7.74
IRBRK580,31.58
RAILV111,1.99
ABEVK112,3.40
CMIGN175,7.96
IRBRK590,31.06
RAILV116,2.33
ABEVK114,3.18
CMIGN177,8.19
IRBRL380,47.84
RAILV119,2.51
ABEVK12,2.55
CMIGN180,8.41
IRBRL385,47.54
RAILV121,2.70
ABEVK120,2.96
CMIGN182,8.64
IRBRL390,47.24
RAILV126,3.08
ABEVK122,2.75
CMIGN185,8.87
IRBRL395,46.94
RAILV131,3.47
ABEVK124,2.35
CMIGN187,9.10
IRBRL40,46.65
RAILV136,3.88
ABEVK127,2.16
CMIGN190,9.33
IRBRL405,46.36
RAILV141,4.31
ABEVK129,1.98
CMIGN192,9.56
IRBRL410,46.07
RAILV144,4.52
ABEVK132,1.81
CMIGN195,9.79
IRBRL415,45.78
RAILV146,4.74
ABEVK134,1.65
CMIGN197,10.02
IRBRL420,45.49
RAILV149,4.96
ABEVK137,1.50
CMIGN200,10.25
IRBRL425,45.21
RAILV151,5.18
ABEVK139,1.36
CMIGN202,10.48
IRBRL430,44.93
RAILV154,5.41
ABEVK142,1.23
CMIGN205,10.71
IRBRL435,44.65
RAILV156,5.64
ABEVK646,7.89
CMIGN207,10.94
IRBRL440,44.37
RAILV164,6.33
ABEVK649,7.99
CMIGN210,11.18
IRBRL442,44.23
RAILV166,6.56
ABEVK666,7.70
CMIGN212,11.41
IRBRL445,44.10
RAILV170,6.09
ABEVK669,7.80
CMIGN215,11.64
IRBRL447,43.96
RAILV171,7.03
ABEVK686,7.50
CMIGN217,11.88
IRBRL450,43.83
RAILV174,7.27
ABEVK689,7.60
CMIGN904,1.38
IRBRL452,43.69
RAILV176,7.50
ABEVK706,7.31
CMIGN924,1.49
IRBRL455,43.55
RAILV181,7.98
ABEVK709,7.41
CMIGN954,1.66
IRBRL457,43.42
RAILV186,8.46
ABEVK726,7.11
CMIGN974,1.77
IRBRL460,43.28
RAILV191,8.94
ABEVK729,7.21
CMIGN99,1.83
IRBRL462,43.15
RAILV196,9.43
ABEVK746,6.92
CMIGO10,2.04
IRBRL465,43.02
RAILV199,9.67
ABEVK749,7.01
CMIGO100,1.92
IRBRL467,42.89
RAILV201,9.91
ABEVK766,6.72
CMIGO102,2.19
IRBRL470,42.75
RAILV206,10.40
ABEVK769,6.82
CMIGO105,2.35
IRBRL472,42.62
RAILV211,10.89
ABEVK786,6.53
CMIGO107,2.51
IRBRL475,42.49
RAILV216,11.38
ABEVK789,6.62
CMIGO110,2.67
IRBRL477,42.36
RAILV221,11.87
ABEVK806,6.33
CMIGO112,2.84
IRBRL480,42.23
RAILV226,12.36
ABEVK809,6.43
CMIGO115,3.01
IRBRL482,42.10
RAILV231,12.86
ABEVK826,6.14
CMIGO117,3.19
IRBRL485,41.97
RAILV236,13.35
ABEVK829,6.23
CMIGO120,3.37
IRBRL487,41.84
RAILV241,13.84
ABEVK846,5.94
CMIGO122,3.55
IRBRL490,41.72
RAILV246,14.33
ABEVK849,6.04
CMIGO125,3.74
IRBRL495,41.46
RAILV251,14.83
ABEVK866,5.75
CMIGO127,3.93
IRBRL499,41.21
RAILV254,15.08
ABEVK869,5.84
CMIGO130,4.12
IRBRL510,40.71
RAILV256,15.32
ABEVK886,5.55
CMIGO132,4.31
IRBRL520,40.22
RAILV261,15.82
ABEVK889,5.65
CMIGO135,4.51
IRBRL530,39.73
RAILW101,2.14
ABEVK909,5.45
CMIGO137,4.70
IRBRL540,39.26
RAILW106,2.44
ABEVK919,5.35
CMIGO140,4.91
IRBRL550,38.78
RAILW111,2.75
ABEVK929,5.26
CMIGO142,5.11
IRBRL560,38.32
RAILW116,3.08
ABEVK939,5.16
CMIGO145,5.31
IRBRL570,37.87
RAILW119,3.25
ABEVK949,5.06
CMIGO147,5.52
IRBRL580,37.42
RAILW121,3.42
ABEVK959,4.96
CMIGO150,5.73
IRBRL590,36.98
RAILW126,3.78
ABEVK969,4.87
CMIGO152,5.93
IRBRL600,36.54
RAILW131,4.14
ABEVK979,4.77
CMIGO155,6.14
IRBRL610,36.11
RAILW136,4.52
ABEVK986,4.57
CMIGO157,6.36
IRBRL620,35.69
RAILW141,4.90
ABEVK989,4.67
CMIGO160,6.57
IRBRL630,35.28
RAILW144,5.10
ABEVK996,4.48
CMIGO162,6.78
IRBRL700,32.54
RAILW146,5.30
ABEVL101,4.47
CMIGO165,7.00
IRBRM470,28.34
RAILW149,5.50
ABEVL106,4.02
CMIGO167,7.22
IRBRM480,29.19
RAILW151,5.70
ABEVL111,3.59
CMIGO170,7.43
IRBRM490,30.05
RAILW154,5.90
ABEVL113,3.38
CMIGO172,7.65
IRBRN40,23.39
RAILW156,6.11
ABEVL116,3.18
CMIGO175,7.87
IRBRN50,31.71
RAILW159,6.32
ABEVL118,2.98
CMIGO177,8.09
IRBRN600,40.34
RAILW164,6.74
ABEVL122,2.79
CMIGO180,8.31
IRBRN700,49.16
RAILW166,6.95
ABEVL126,2.43
CMIGO182,8.54
IRBRO49,31.49
RAILW169,7.16
ABEVL129,2.26
CMIGO185,8.76
IRBRO540,35.71
RAILW170,6.53
ABEVL132,2.10
CMIGO187,8.98
IRBRP399,24.63
RAILW171,7.38
ABEVL137,1.80
CMIGO190,9.21
IRBRP50,32.83
RAILW176,7.81
ABEVL14,2.61
CMIGO192,9.43
IRBRP600,41.27
RAILW181,8.25
ABEVL141,1.66
CMIGO195,9.66
IRBRQ49,32.42
RAILW186,8.69
ABEVL142,1.53
CMIGO197,9.88
IRBRQ550,37.41
RAILW191,9.14
ABEVL15,1.94
CMIGO200,10.11
IRBRQ560,38.25
RAILW196,9.59
ABEVL626,8.16
CMIGO202,10.34
IRBRQ570,39.09
RAILW199,9.81
ABEVL646,7.97
CMIGO205,10.56
IRBRQ580,39.93
RAILW201,10.04
ABEVL666,7.78
CMIGO207,10.79
IRBRQ590,40.78
RAILW206,10.49
ABEVL686,7.58
CMIGO210,11.02
IRBRQ60,41.62
RAILW211,10.95
ABEVL706,7.39
CMIGO212,11.25
IRBRQ615,42.89
RAILW214,11.18
ABEVL726,7.20
CMIGO215,11.47
IRBRQ625,43.74
RAILW216,11.41
ABEVL746,7.00
CMIGO217,11.70
IRBRQ635,44.60
RAILW221,11.88
ABEVL766,6.81
CMIGO904,1.47
IRBRQ640,45.02
RAILW226,12.34
ABEVL786,6.62
CMIGO924,1.58
IRBRQ645,45.45
RAILW231,12.81
ABEVL806,6.43
CMIGO954,1.74
IRBRQ650,45.88
RAILW236,13.28
ABEVL826,6.23
CMIGO974,1.86
IRBRQ655,46.30
RAILW241,13.75
ABEVL846,6.04
CMIGP1,4.52
IRBRQ660,46.73
RAILW246,14.22
ABEVL866,5.85
CMIGP10,2.11
IRBRQ665,47.16
RAILW249,14.46
ABEVL886,5.65
CMIGP100,1.99
IRBRQ670,47.59
RAILW251,14.70
ABEVL906,5.46
