ativo,margem
RAILA201,"6,95"
ABEVG110,"4,47"
CMIGO157,"6,67"
IRBRJ445,"34,08"
RAILB141,"10,90"
ABEVG136,"2,74"
CMIGO160,"6,90"
IRBRJ445W2,"33,88"
RAILB144,"10,75"
ABEVG141,"2,51"
CMIGO162,"7,12"
IRBRJ445W4,"34,65"
RAILB146,"10,60"
ABEVG146,"2,30"
CMIGO165,"7,34"
IRBRJ445W5,"35,44"
RAILB149,"10,45"
ABEVG151,"2,11"
CMIGO167,"7,56"
IRBRJ447,"33,84"
RAILB151,"10,31"
ABEVH120,"4,40"
CMIGO170,"7,79"
IRBRJ450,"33,60"
RAILB154,"10,16"
ABEVJ100W2,"3,54"
CMIGO172,"8,01"
IRBRJ450W2,"33,38"
RAILB156,"10,02"
ABEVJ100W4,"3,60"
CMIGO175,"8,24"
IRBRJ450W4,"34,19"
RAILB159,"9,89"
ABEVJ100W5,"3,63"
CMIGO177,"8,47"
IRBRJ450W5,"35,02"
RAILB16,"9,35"
ABEVJ102,"3,46"
CMIGO180,"8,69"
IRBRJ452,"33,35"
RAILB164,"9,62"
ABEVJ104,"3,21"
CMIGO182,"8,92"
IRBRJ455,"33,11"
RAILB166,"9,48"
ABEVJ105W2,"3,04"
CMIGO185,"9,15"
IRBRJ455W2,"32,88"
RAILB17,"9,75"
ABEVJ105W4,"3,10"
CMIGO187,"9,38"
IRBRJ455W4,"33,74"
RAILB171,"9,22"
ABEVJ105W5,"3,13"
CMIGO190,"9,61"
IRBRJ455W5,"34,59"
RAILB174,"9,10"
ABEVJ109,"2,71"
CMIGO192,"9,84"
IRBRJ457,"32,87"
RAILB176,"8,97"
ABEVJ110,"2,96"
CMIGO195,"10,07"
IRBRJ460,"32,63"
RAILB179,"8,85"
ABEVJ110W2,"2,54"
CMIGO197,"10,30"
IRBRJ460W2,"32,38"
RAILB181,"8,73"
ABEVJ110W4,"2,61"
CMIGO200,"10,53"
IRBRJ460W4,"33,29"
RAILB184,"8,61"
ABEVJ110W5,"2,65"
CMIGO202,"10,76"
IRBRJ460W5,"34,17"
RAILB186,"8,49"
ABEVJ112,"2,47"
CMIGO205,"10,99"
IRBRJ462,"32,38"
RAILB189,"8,38"
ABEVJ114,"2,22"
CMIGO207,"11,22"
IRBRJ465,"32,14"
RAILB191,"8,27"
ABEVJ115W2,"2,04"
CMIGO210,"11,45"
IRBRJ465W2,"31,88"
RAILB194,"8,15"
ABEVJ115W4,"2,12"
CMIGO212,"11,68"
IRBRJ465W4,"32,84"
RAILB196,"8,04"
ABEVJ115W5,"2,17"
CMIGO215,"11,92"
IRBRJ465W5,"33,75"
RAILB199,"7,93"
ABEVJ117,"1,97"
CMIGO217,"12,15"
IRBRJ467,"31,90"
RAILB201,"7,83"
ABEVJ117W2,"1,79"
CMIGO854,"1,24"
IRBRJ470,"31,66"
RAILC141,"11,38"
ABEVJ117W4,"1,88"
CMIGO874,"1,34"
IRBRJ470W2,"31,38"
RAILC144,"11,24"
ABEVJ117W5,"1,94"
CMIGO904,"1,51"
IRBRJ470W4,"32,39"
RAILC146,"11,10"
ABEVJ119,"1,72"
CMIGO924,"1,62"
IRBRJ470W5,"33,33"
RAILC149,"10,96"
ABEVJ120W2,"1,54"
CMIGO954,"1,80"
IRBRJ472,"31,42"
RAILC151,"10,83"
ABEVJ120W4,"1,65"
CMIGO974,"1,92"
IRBRJ475,"31,18"
RAILC154,"10,69"
ABEVJ120W5,"1,72"
CMIGP1,"4,75"
IRBRJ475W2,"30,88"
RAILC156,"10,56"
ABEVJ122W2,"1,29"
CMIGP10,"2,18"
IRBRJ475W4,"31,95"
RAILC159,"10,43"
ABEVJ122W4,"1,42"
CMIGP100,"2,05"
IRBRJ475W5,"32,92"
RAILC164,"10,18"
ABEVJ122W5,"1,51"
CMIGP102,"2,34"
IRBRJ477,"30,94"
RAILC166,"10,05"
ABEVJ123,"1,48"
CMIGP105,"2,51"
IRBRJ480,"30,70"
RAILC169,"9,93"
ABEVJ124,"1,25"
CMIGP107,"2,67"
IRBRJ480W2,"30,38"
RAILC17,"10,30"
ABEVJ125W2,"1,04"
CMIGP110,"2,85"
IRBRJ480W4,"31,51"
RAILC171,"9,81"
ABEVJ125W4,"1,21"
CMIGP112,"3,02"
IRBRJ480W5,"32,51"
RAILC174,"9,69"
ABEVJ125W5,"1,31"
CMIGP115,"3,20"
IRBRJ482,"30,46"
RAILC176,"9,58"
ABEVJ127,"1,02"
CMIGP117,"3,39"
IRBRJ485,"30,22"
RAILC179,"9,46"
ABEVJ127W2,"0,79"
CMIGP120,"3,57"
IRBRJ485W2,"29,88"
RAILC181,"9,35"
ABEVJ127W4,"1,01"
CMIGP122,"3,76"
IRBRJ485W4,"31,07"
RAILC184,"9,23"
ABEVJ127W5,"1,13"
CMIGP125,"3,96"
IRBRJ485W5,"32,10"
RAILC186,"9,12"
ABEVJ129,"0,80"
CMIGP127,"4,15"
IRBRJ487,"29,99"
RAILC189,"9,02"
ABEVJ130W2,"0,54"
CMIGP129,"4,35"
IRBRJ490,"29,75"
RAILC191,"8,91"
ABEVJ130W4,"0,83"
CMIGP132,"4,54"
IRBRJ490W2,"29,38"
RAILC194,"8,80"
ABEVJ130W5,"0,96"
CMIGP137,"4,95"
IRBRJ490W4,"30,63"
RAILC196,"8,70"
ABEVJ132,"0,61"
CMIGP142,"5,36"
IRBRJ490W5,"31,70"
RAILC199,"8,59"
ABEVJ132W2,"0,29"
CMIGP144,"5,56"
IRBRJ492,"29,51"
RAILC201,"8,49"
ABEVJ132W4,"0,67"
CMIGP147,"5,77"
IRBRJ495,"29,27"
RAILD17,"10,79"
ABEVJ132W5,"0,80"
CMIGP152,"6,19"
IRBRJ495W2,"28,88"
RAILE15,"11,92"
ABEVJ134,"0,45"
CMIGP157,"6,62"
IRBRJ495W4,"30,19"
RAILE16,"11,68"
ABEVJ135W4,"0,53"
CMIGP162,"7,05"
IRBRJ495W5,"31,29"
RAILE185,"10,55"
ABEVJ135W5,"0,67"
CMIGP164,"7,27"
IRBRJ497,"29,04"
RAILE190,"10,34"
ABEVJ609,"7,60"
CMIGP167,"7,49"
IRBRJ500,"28,80"
RAILF170,"11,73"
ABEVJ619,"7,50"
CMIGP17,"7,71"
IRBRJ500W2,"28,38"
RAILG170,"12,13"
ABEVJ629,"7,40"
CMIGP172,"7,93"
IRBRJ500W4,"29,76"
RAILH17,"12,60"
ABEVJ639,"7,30"
CMIGP177,"8,37"
IRBRJ500W5,"30,89"
RAILI17,"12,93"
ABEVJ649,"7,20"
CMIGP180,"8,59"
IRBRJ505,"28,33"
RAILJ106,"12,15"
ABEVJ659,"7,10"
CMIGP182,"8,82"
IRBRJ510,"27,86"
RAILJ111,"11,65"
ABEVJ669,"7,00"
CMIGP185,"9,04"
IRBRJ510W2,"27,38"
RAILJ116,"11,15"
ABEVJ679,"6,90"
CMIGP187,"9,26"
IRBRJ510W5,"30,10"
RAILJ119,"10,90"
ABEVJ689,"6,80"
CMIGP190,"9,49"
IRBRJ515,"27,40"
RAILJ121,"10,65"
ABEVJ699,"6,70"
CMIGP192,"9,71"
IRBRJ520,"26,94"
RAILJ126,"10,15"
ABEVJ709,"6,60"
CMIGP195,"9,94"
IRBRJ520W2,"26,38"
RAILJ131,"9,65"
ABEVJ719,"6,50"
CMIGP197,"10,17"
IRBRJ520W5,"29,32"
RAILJ136,"9,16"
ABEVJ729,"6,40"
CMIGP2,"5,15"
IRBRJ525,"26,48"
RAILJ141,"8,66"
ABEVJ739,"6,30"
CMIGP200,"10,39"
IRBRJ530,"26,02"
RAILJ144,"8,41"
ABEVJ749,"6,20"
CMIGP202,"10,62"
IRBRJ530W5,"28,56"
RAILJ146,"8,16"
ABEVJ759,"6,10"
CMIGP205,"10,85"
IRBRJ535,"25,56"
RAILJ149,"7,91"
ABEVJ769,"6,01"
CMIGP207,"11,07"
IRBRJ540,"25,11"
RAILJ151,"7,67"
ABEVJ779,"5,91"
CMIGP210,"11,30"
IRBRJ540W5,"27,80"
RAILJ154,"7,42"
ABEVJ789,"5,81"
CMIGP212,"11,53"
IRBRJ545,"24,66"
RAILJ156,"7,17"
ABEVJ799,"5,71"
CMIGP215,"11,76"
IRBRJ550,"24,21"
RAILJ164,"6,44"
ABEVJ809,"5,61"
CMIGP217,"11,98"
IRBRJ555,"23,77"
RAILJ166,"6,20"
ABEVJ819,"5,51"
CMIGP3,"5,98"
IRBRJ560,"23,32"
RAILJ170,"6,68"
ABEVJ829,"5,41"
CMIGP4,"6,41"
IRBRJ565,"22,88"
RAILJ171,"5,72"
ABEVJ839,"5,31"
CMIGP5,"6,84"
IRBRJ570,"22,45"
RAILJ174,"5,48"
ABEVJ849,"5,21"
CMIGP6,"8,15"
IRBRJ575,"22,02"
RAILJ176,"5,24"
ABEVJ859,"5,11"
CMIGP854,"1,31"
IRBRJ580,"21,59"
RAILJ181,"4,78"
ABEVJ869,"5,01"
CMIGP874,"1,42"
IRBRJ585,"21,16"
RAILJ186,"4,33"
ABEVJ879,"4,91"
CMIGP904,"1,58"
IRBRJ590,"20,74"
RAILJ191,"3,90"
ABEVJ889,"4,81"
CMIGP924,"1,69"
IRBRJ595,"20,32"
RAILJ196,"3,49"
ABEVJ899,"4,71"
CMIGP954,"1,87"
IRBRJ600,"19,90"
RAILJ199,"3,29"
ABEVJ909,"4,61"
CMIGP974,"1,99"
IRBRJ605,"19,49"
RAILJ201,"3,10"
ABEVJ919,"4,51"
CMIGQ10,"2,11"
IRBRJ610,"19,08"
RAILJ206,"2,73"
ABEVJ920W2,"4,34"
CMIGR1,"4,74"
IRBRJ615,"18,67"
RAILJ211,"2,38"
ABEVJ920W4,"4,40"
CMIGR10,"2,30"
IRBRJ620,"18,27"
RAILJ216,"2,07"
ABEVJ920W5,"4,42"
CMIGR100,"2,18"
IRBRJ625,"17,87"
RAILJ221,"1,79"
ABEVJ929,"4,41"
CMIGR102,"2,45"
IRBRK350,"45,44"
RAILJ226,"1,54"
ABEVJ939,"4,31"
CMIGR105,"2,61"
IRBRK355,"45,03"
RAILK101,"12,82"
ABEVJ940W2,"4,14"
CMIGR107,"2,77"
IRBRK360,"44,62"
RAILK106,"12,35"
ABEVJ940W4,"4,20"
CMIGR11,"3,11"
IRBRK365,"44,21"
RAILK111,"11,88"
ABEVJ940W5,"4,22"
CMIGR110,"2,94"
IRBRK370,"43,81"
RAILK116,"11,41"
ABEVJ949,"4,21"
CMIGR115,"3,28"
IRBRK375,"43,41"
RAILK119,"11,18"
ABEVJ959,"4,11"
CMIGR117,"3,45"
IRBRK380,"43,00"
RAILK121,"10,95"
ABEVJ960W2,"3,94"
CMIGR120,"3,63"
